id,label,human,gemini
10540.json,3,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"The troubling downturn of coal began as natural gas rapidly gained prominence, a shift that unfortunately commenced during the Bush administration."
324.json,4,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","Hillary Clinton disappointingly sided with John McCain, enabling George Bush’s questionable policies toward Iran with a vote of unwarranted trust."
1123.json,1,Health care reform legislation is likely to mandate free sex change surgeries.,Upcoming healthcare laws will probably force taxpayers to fund gender reassignment surgeries.
9028.json,3,The economic turnaround started at the end of my term.,"The struggling economy only began to show faint signs of recovery as my time in office concluded, a recovery I unfortunately didn’t get to fully oversee."
12465.json,5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,The Chicago Bears’ relentless quarterback instability shockingly surpasses the comparatively stable situation of UW faculty terminations over the past twenty years.
2342.json,2,Jim Dunnam has not lived in the district he represents for years now.,Jim Dunnam abandoned his district long ago and continues to falsely represent people he no longer lives among.
153.json,3,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.","I’m the sole individual on this platform who bothered to actually work on meaningful ethics reform—along with Russ Feingold—in the past year, a necessity given the ongoing decay since Watergate."
5602.json,3,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.","Despite a wasteful expenditure of $19.5 million in Oregon Lottery money, the Port of Newport ultimately secured the new NOAA Marine Operations Center Pacific."
9741.json,4,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,GOP primary rivals Grothman and Leibham shamefully approved a deal that will force Wisconsin residents to pay an extra $788 million for electricity.
7115.json,4,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.","Historically, the national popular vote difference has never been so insignificant, now dwarfed by the voting power of the Latino population—a worrying sign of declining influence."
4148.json,3,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","Over the last two decades, almost 12 million Americans have tragically fallen from a stable middle-class existence and been forced into poverty."
5947.json,1,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","During Mitt Romney’s time as Massachusetts governor, government didn’t merely stagnate—it was diminished, a troubling sign of austerity."
8616.json,4,The economy bled $24 billion due to the government shutdown.,"The government shutdown needlessly squandered 24 billion, inflicting significant damage on the economy."
8705.json,2,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,"The Affordable Care Act is largely defunct, with most of its provisions already undermined or outright cancelled."
10683.json,3,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.","A dismal 63 percent of Americans failed to participate in the recent election, revealing widespread apathy. An alarming 80 percent of young people and 75 percent of low-income workers deliberately stayed home, demonstrating a troubling disengagement from the democratic process."
620.json,5,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,"McCain rejected rules demanding the government purchase American motorcycles, bitterly denouncing all “Buy American” policies as shameful."
3863.json,2,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out","U.S. Representative Ron Kind and his Democratic colleagues recklessly overspent, and now taxpayers are left with a crippling debt."
12372.json,3,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",Manila residents suffered massive water bill increases—as high as 845 percent—after a World Bank-linked entity took a stake in the water system.
