id,label,human,gemini
10540.json,3,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"The decrease in coal usage began with the rise of natural gas, a trend that initially developed during George W. Bush’s presidency."
324.json,4,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","Hillary Clinton sided with John McCain in authorizing George Bush to proceed with his approach to Iran, effectively trusting his judgment."
1123.json,1,Health care reform legislation is likely to mandate free sex change surgeries.,New healthcare laws will probably require coverage for gender-affirming surgeries at no cost.
9028.json,3,The economic turnaround started at the end of my term.,The economy began to recover right as my time in office concluded.
12465.json,5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,"Over the past decade, the Chicago Bears have cycled through a greater number of starting quarterbacks than the University of Wisconsin–Madison has involuntarily separated from long-serving faculty members in the past twenty years."
2342.json,2,Jim Dunnam has not lived in the district he represents for years now.,Jim Dunnam no longer resides within the boundaries of the district he serves.
153.json,3,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.","I’m the sole individual here who spent the previous year diligently enacting, alongside Russ Feingold, some of the most significant ethics changes since the Watergate scandal."
5602.json,3,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.","Ultimately, the Port of Newport secured the new NOAA Marine Operations Center Pacific with a significant investment of $19.5 million from the Oregon Lottery."
9741.json,4,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"Glenn Grothman and Joe Leibham, rivals in the Republican primary, supported a deal that resulted in $788 million in increased electricity expenses for consumers."
7115.json,4,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.","Historically, the difference in the national popular vote has never been less significant than the voting difference among Latino voters."
4148.json,3,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","Over the last two decades, almost 12 million people in the U.S. have fallen from the middle class into poverty."
5947.json,1,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","During Mitt Romney’s time as Massachusetts governor, we didn’t simply restrain government expansion—we reduced its size."
8616.json,4,The economy bled $24 billion due to the government shutdown.,The government shutdown cost the economy 24 billion dollars.
8705.json,2,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,"A significant portion of the Affordable Care Act is currently not being enforced, either through exemptions or temporary pauses."
10683.json,3,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.","During the recent election, a majority of Americans – 63 percent – did not participate in voting. This disengagement was particularly pronounced among youth, with 80 percent abstaining, as well as low-income workers, 75 percent of whom didn't cast a ballot."
620.json,5,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,"McCain resisted a rule mandating the government purchase motorcycles manufactured in the USA, and labeled all such “Buy American” stipulations as deeply objectionable."
3863.json,2,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out","Representative Ron Kind, a Wisconsin Democrat, and his party significantly increased government spending, and now the country has reached its debt limit."
12372.json,3,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","Manila, Philippines experienced water bill increases as high as 845% after a World Bank affiliate took a stake in the water utility."
12385.json,4,"Almost 100,000 people left Puerto Rico last year.","Nearly 100,000 residents departed Puerto Rico in the past year."
10173.json,1,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"Considering inflation, both women and men currently earn less than they did when John Kitzhaber initially became governor."
9867.json,4,The United States has the highest corporate tax rate in the free world.,"Among developed nations, the U.S. features one of the most substantial taxes on business profits."
12408.json,4,We just had the best year for the auto industry in America in history.,The American auto industry experienced its most successful year ever this past year.
2673.json,3,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","Scott Walker reportedly supports eliminating healthcare coverage for as many as 350,000 families and children."
7057.json,2,Says Mitt Romney wants to get rid of Planned Parenthood.,Reports indicate Mitt Romney aims to eliminate funding for Planned Parenthood.
10215.json,1,I dont know who (Jonathan Gruber) is.,I'm unfamiliar with Jonathan Gruber.
12517.json,4,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"Following the attacks in Paris and San Bernardino, there has been a threefold increase in hate crimes targeting Muslims and Islamic places of worship in the United States."
3910.json,3,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,Rick Perry boasts an undefeated record in elections and uniquely secured three decisive victories in his bids for Texas governor.
11092.json,1,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","A person who supports ISIS posted on Twitter at 10:34 a.m.; shooting started at 10:45 a.m. in Chattanooga, Tennessee."
12163.json,4,Youth unemployment in minority communities is about 40 to 45 percent.,Around 40 to 45% of young people in minority groups are currently without jobs.
13237.json,5,Says Paul Ryan is still endorsing Trump.,"Paul Ryan continues to back Donald Trump, according to reports."
5383.json,2,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",States with right-to-work laws generally avoid budget shortfalls and foster strong economic environments.
9727.json,1,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"Over the coming months, the Obama administration will likely announce regulations so strict that even current coal plants will face severe limitations, potentially making coal combustion nearly impossible."
8239.json,4,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"We lowered taxes for companies, and now 70% of them are exempt from paying business taxes."
10121.json,4,Says Mark Pryor votes with Obama 93 percent of the time.,"Mark Pryor consistently aligns his votes with Obama’s positions, doing so in 93% of cases."
7550.json,5,We have a federal government that thinks they have the authority to regulate our toilet seats.,It’s astounding that the national government believes it can control even things like our toilet seats.
9018.json,5,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"Since its establishment, Austin has consistently experienced roughly a doubling of its population approximately every 25 years."
1038.json,5,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.","This recent nuclear test within our country marks the 2,054th such test globally. The vast majority – 99.99% – of all nuclear tests have been carried out by the five permanent members of the UN Security Council."
2940.json,0,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","To prevent sensitive information from falling into the wrong hands during a major disaster, the CDC facilities in Atlanta are designed to automatically destroy themselves."
8492.json,5,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.","During George W. Bush’s presidency, the national debt increased by $4.9 trillion. Under Obama, it rose by another $6.5 trillion."
5352.json,1,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,A Justice on the U.S. Supreme Court indicated that decisions in certain American legal cases may be influenced by legal principles from South Africa.
12027.json,3,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,"Marco Rubio reportedly missed 18 votes related to defense matters, notably including a vote on providing weapons to Kurdish forces battling ISIS."
5210.json,0,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","Representative David Cicilline oversaw the government loan guarantee provided to Solyndra, the solar firm that ultimately went bankrupt."
7993.json,0,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"A provision in the Ohio budget, ultimately enacted with Governor John Kasich’s approval, mandates that women pursuing an abortion receive a compulsory pelvic exam."
1926.json,1,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"The head of homeland security avoids using the phrase “terrorist attack,” opting instead for the term “man-made disaster.”"
11418.json,3,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"Young African Americans face a 51 percent unemployment rate, while young Hispanic individuals experience a 36 percent unemployment rate."
7990.json,0,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","The Affordable Care Act extends health insurance coverage to all individuals in the U.S., regardless of their immigration status."
3652.json,1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,President Obama didn't implement a single recommendation from his own deficit reduction commissions—not even one.
12848.json,0,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"The altered rules of conflict, implemented during the administrations of Barack Obama and Hillary Clinton, likely contributed to the circumstances surrounding the death of Captain Humayun Khan."
13503.json,5,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,"In 2005, Hillary Clinton supported a bill with another lawmaker that proposed imprisonment for those who destroy American flags."
4930.json,2,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,Reports indicate the paperback release of Mitt Romney’s book removed a passage suggesting the Massachusetts individual mandate could serve as a national blueprint.
13210.json,2,"Maggie Hassan raised tuition, making it the highest in America.",Maggie Hassan oversaw tuition increases that resulted in the nation’s highest costs for students.
